month_num,month,duration_cate,type,Count,TotalHU,CustomerOut,CustomerMinutes,MedCustomerMinutes,MinCustomerMinutes,MaxCustomerMinutes,AvgCustomerMinutes,MedCustomerOut,MinCustomerOut,MaxCustomerOut,AvgCustomerOut,TotalDuration,MaxDuration,MinDuration,AvgDuration,MedDuration,PctCustomerOut,PctDuration
07,Jul,72+ hours,Not Wildfire-induced,2,35492,16190,91758705180,45879352590,11851508940,79907196240,45879352590,8095,5059,11131,8095,26120,19430,6690,13060,13060,0.11403978361320861,1.24
07,Jul,9-24 hours,Not Wildfire-induced,16,29159,74294,3872858090,75253720,26818350,2554159930,242053630.625,1731.5,525,31877,4643.375,12960,1410,490,810,710,0.6369731472272712,0.62
07,Jul,9-24 hours,Wildfire,2,11185,1441,67099370,33549685,14360840,52738530,33549685,720.5,532,909,720.5,1390,870,520,695,695,0.032208314707197136,0.06999999999999999
07,Jul,<= 8 hours,Not Wildfire-induced,309,619166,964110,1969237020,2335320,188820,110352060,6372935.3398058275,1997,506,23845,3120.0970873786396,42200,480,60,136.5695792880259,100,0.3892776735156646,2.01
07,Jul,<= 8 hours,Wildfire,6,88341,19850,64728400,6070090,1674000,33566400,10788066.666666666,1494.5,744,8116,3308.333333333333,1180,480,110,196.66666666666669,145,0.056174369771680194,0.06
08,Aug,25-72 hours,Not Wildfire-induced,10,142847,72185,17202386510,925178590,266590170,4556574720,1720238651,4388,959,24372,7218.5,23580,2930,1890,2358,2370,0.12633271962309323,1.1199999999999999
08,Aug,25-72 hours,Wildfire,3,681145,42846,8223098650,1733596800,186063300,6303438550,2741032883.3333335,14258,1219,27369,14282,4950,1970,1450,1650,1530,0.0157257265339979,0.24
08,Aug,72+ hours,Not Wildfire-induced,4,35492,20274,123630541240,14280114200,2935170840,92135142000,30907635310,6113.5,1848,6199,5068.5,35510,13200,4420,8877.5,8945,0.14280682970810324,1.69
08,Aug,9-24 hours,Not Wildfire-induced,41,88341,237459,11838859760,112558550,25698450,1669090410,288752677.0731707,2782,535,26987,5791.682926829268,33820,1410,530,824.8780487804878,700,0.671995449451557,1.6099999999999999
08,Aug,9-24 hours,Wildfire,9,619166,96334,3905483760,154031560,35064120,1646010580,433942640,10060,608,27299,10703.777777777777,7630,1220,600,847.7777777777778,760,0.03889667714312479,0.36
08,Aug,<= 8 hours,Not Wildfire-induced,422,619166,1731098,4669077010,3054075,180360,217962150,11064163.53080568,2043,501,72584,4102.12796208531,66830,480,60,158.3649289099526,130,0.698963605882752,3.18
08,Aug,<= 8 hours,Wildfire,15,619166,194713,459588060,12306280,1450320,210663360,30639204,7694,841,67403,12980.866666666667,3100,480,70,206.66666666666669,140,0.07861906177018764,0.15
09,Sep,25-72 hours,Not Wildfire-induced,22,19079,221079,53923997640,1626005525,160335100,6951946510,2451090801.818182,5521.5,641,33689,10049.045454545454,46380,3640,1480,2108.181818181818,1775,2.8968892499606897,2.21
09,Sep,25-72 hours,Wildfire,2,3571222,66888,8868629240,4434314620,599827340,8268801900,4434314620,33444,870,66018,33444,4400,2660,1740,2200,2200,0.004682430831799311,0.21
