County,Count,TotalHU,CustomerOut,CustomerMinutes,MedCustomerMinutes,MinCustomerMinutes,MaxCustomerMinutes,AvgCustomerMinutes,MedCustomerOut,MinCustomerOut,MaxCustomerOut,AvgCustomerOut,TotalDuration,AvgDuration,MedDuration,MaxDuration,MinDuration,PctCustomerOut,PctDuration
Plumas,43,16137,106069,15378236570,4578120,211140,6364499400,357633408.6046511,1398,518,11845,2466.720930232558,29070,676.0465116279072,200,4050,60,1.6432577306810436,1.38
Riverside,73,867637,782348,21744867070,21769880,1575720,4422463920,297874891.3698629,10131,4377,25743,10717.09589041096,25710,352.19178082191786,160,1840,60,0.22542491848549567,1.22
Sacramento,43,585981,630574,5877434130,6104280,1317000,5123374900,136684514.6511628,6867,3425,140044,14664.511627906977,6090,141.6279069767442,90,1450,60,0.2690249342555475,0.29
San Benito,18,20246,37061,653790200,922645,224520,602778440,36321677.77777777,978,516,9406,2058.9444444444443,4500,250,95,2420,60,0.4576336066383483,0.21
San Bernardino,110,735705,1209688,28620378440,13583915,1361040,6664738080,260185258.54545462,7431,3683,68512,10997.163636363637,32620,296.54545454545456,155,1690,60,0.4110642173153642,1.55
San Diego,34,1233344,666982,80723629210,17168065,2356320,17511691590,2374224388.5294123,15297,6574,73789,19617.117647058825,24950,733.8235294117646,115,3470,60,0.1351978847750506,1.1900000000000002
San Francisco,61,408176,355698,687441630,3369280,750240,266354040,11269534.918032782,4625,2085,26468,5831.114754098361,7170,117.54098360655739,90,860,60,0.21785822782329192,0.33999999999999997
San Joaquin,82,252576,319660,3783085100,1689690,479040,1393176060,46135184.146341465,2236.5,1276,67403,3898.2926829268276,13440,163.90243902439025,90,2370,60,0.3163998162929178,0.64
San Luis Obispo,125,123678,280733,1945584540,1759760,227580,463811280,15564676.320000002,1558,634,18915,2245.8640000000005,22880,183.04000000000002,110,1410,60,0.5674675366677986,1.09
San Mateo,94,281148,540663,90048338820,2872240,509760,76830945280,957961051.2765955,3542,1418,54625,5751.734042553192,28460,302.7659574468085,100,5120,60,0.4807636902983482,1.35
Santa Barbara,168,160661,485031,5047681440,2978010,292200,1658780480,30045722.857142866,1406,813,56656,2887.089285714287,38560,229.52380952380952,140,2240,60,0.754742905870124,1.83
Santa Clara,80,681145,688808,51577686080,7723005,1302120,33223366440,644721076,5795,3618,37863,8610.1,22280,278.5,110,3960,60,0.2528125435846993,1.06
Santa Cruz,177,106148,613097,396691091590,2758470,195960,192244806000,2241192607.853102,1538,541,47228,3463.8248587570647,110490,624.2372881355946,140,30600,60,1.443967385160342,5.26
Shasta,114,78241,363465,419468103430,3544920,195720,173619948000,3679544766.929826,1054,500,30929,3188.28947368421,92010,807.1052631578946,170,19430,60,1.1613636073158573,4.38
Sierra,50,2401,45045,13113916080,4532625,225360,5642117420,262278321.59999993,848.5,541,1345,900.9,41330,826.5999999999999,270,6970,60,4.690233236151603,1.97
Siskiyou,60,24388,117304,1243063260,2970440,201600,599827340,20717721,993,507,22064,1955.0666666666668,15490,258.1666666666667,160,2660,60,1.2024766278497623,0.74
Solano,136,161786,519032,64113787610,2580260,361140,46576454400,471424908.89705855,2435.5,825,33125,3816.4117647058833,40820,300.1470588235292,120,5760,60,0.8020347866935335,1.94
Sonoma,158,206362,931157,1029280035010,2796295,373320,623482116290,6514430601.32912,2331,1033,105599,5893.398734177214,85740,542.6582278481012,120,15200,60,1.1280625793508494,4.08
Stanislaus,17,186003,42760,198889890,2196480,522000,124289280,11699405.294117648,2170,1112,6946,2515.294117647059,2480,145.88235294117646,110,480,60,0.05747219130874233,0.12
Sutter,27,34675,66590,687839420,1134600,203760,626342640,25475534.074074067,1583,566,16529,2466.2962962962965,3540,131.11111111111111,90,660,60,0.4801009372746936,0.16999999999999998
Tehama,92,27858,256029,88897441360,2814955,182160,48205655940,966276536.5217391,976,506,27067,2782.9239130434776,41360,449.56521739130443,160,6630,60,2.297625457678225,1.97
Trinity,19,8951,14386,4195118710,5136000,715360,2610206430,220795721.57894737,641,505,1516,757.1578947368421,18840,991.5789473684212,320,5430,80,0.4017986817115406,0.8999999999999999
Tulare,113,151433,230587,7688689020,1731730,291240,4138550550,68041495.75221235,1547,759,15770,2040.5929203539827,30970,274.070796460177,110,5130,60,0.3806749519589521,1.47
Tuolumne,103,32009,314475,5546276635430,3003300,184320,5510120689500,53847345975.04856,1696,512,30347,3053.155339805826,220350,2139.320388349517,150,178270,60,2.456145146677497,10.48
Ventura,142,290889,734892,36092926120,3412800,537180,14474060130,254175536.05633762,3025.5,1513,133824,5175.295774647886,36140,254.50704225352126,110,3210,60,0.6315914317832575,1.72
Yolo,90,79713,213813,13476119510,3027100,242760,11363880580,149734661.22222215,1866.5,515,12995,2375.7,27240,302.66666666666663,135,5570,60,0.6705712995370893,1.3
Yuba,64,29477,146700,40176949560,2992385,192960,18941976300,627764836.875,1251,515,13095,2292.1875,38450,600.78125,150,6630,60,1.2441903857244632,1.83
