NAME,NAMELSAD,wui_area,cdp_area,pct_wui_area
Bolinas,Bolinas CDP,7496475.383281808,15090532,50
Bonadelle Ranchos,Bonadelle Ranchos CDP,18183888.50453,23343618,78
Bonita,Bonita CDP,3688660.875041798,12993682,28.000000000000004
Bonny Doon,Bonny Doon CDP,31883321.627259552,42898133,74
Bonsall,Bonsall CDP,31991149.543817513,35286264,91
Boonville,Boonville CDP,10834581.060245665,14355353,75
Bootjack,Bootjack CDP,9737989.679531028,9924991,98
Boron,Boron CDP,6294858.409200543,35516742,18
Borrego Springs,Borrego Springs CDP,15976048.967939705,112422778,14.000000000000002
Boulder Creek,Boulder Creek CDP,15760725.201328795,19456234,81
Boulevard,Boulevard CDP,9410931.57533265,10115840,93
Boyes Hot Springs,Boyes Hot Springs CDP,2736057.9703434072,2746385,100
Bradbury,Bradbury city,4525977.822455817,5084268,89
Bradley,Bradley CDP,215012.76632508988,222711,97
Brea,Brea city,16579107.472526917,31513797,53
Brentwood,Brentwood city,16517947.24899865,38501266,43
Bridgeport,Bridgeport CDP,3190691.3769403,56306218,6
Brisbane,Brisbane city,2196033.257548924,7731718,28.000000000000004
Broadmoor,Broadmoor CDP,716344.5825365238,1118795,64
Brookdale,Brookdale CDP,8097734.601601933,9963087,81
Brooktrails,Brooktrails CDP,18835638.869019117,18835634,100
Buck Meadows,Buck Meadows CDP,562089.1805540683,1386273,41
Buckhorn,Buckhorn CDP,11737584.873791007,12772523,92
Bucks Lake,Bucks Lake CDP,5083007.300142591,26784856,19
Buellton,Buellton city,3352580.8256161427,4097750,82
Buena Vista,Buena Vista CDP,3640458.3533166978,4370822,83
Burbank,Burbank city,19604319.56226079,44848115,44
Burlingame,Burlingame city,3278430.573691259,11378104,28.999999999999996
Burney,Burney CDP,10282870.931373274,13915869,74
Burnt Ranch,Burnt Ranch CDP,8757265.447782211,34655000,25
Butte Creek Canyon,Butte Creek Canyon CDP,13403618.661353474,53133631,25
Butte Meadows,Butte Meadows CDP,3092216.8040506793,5554035,56.00000000000001
Butte Valley,Butte Valley CDP,25347101.368337844,47368451,54
Byron,Byron CDP,8059398.724131661,16889207,48
C-Road,C-Road CDP,5174730.195867717,6891297,75
Cabazon,Cabazon CDP,5975493.202781537,12672881,47
Calabasas,Calabasas city,24465070.99411597,35502601,69
Calexico,Calexico city,325610.57916092436,22324358,1
California City,California City city,30995987.179333232,527349258,6
California Hot Springs,California Hot Springs CDP,1394239.3207792775,2334885,60
California Pines,California Pines CDP,13426731.240925798,19236734,70
California Polytechnic State University,California Polytechnic State University CDP,780500.6478885228,3986949,20
Calimesa,Calimesa city,26015966.281734206,38481124,68
Calistoga,Calistoga city,6334320.812233635,6673845,95
Callender,Callender CDP,4670068.959503948,5921649,79
Calpella,Calpella CDP,5349439.883633793,6598677,81
Calpine,Calpine CDP,1690208.4144827172,1838557,92
Camanche North Shore,Camanche North Shore CDP,5797742.486812408,6039084,96
