FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,GIS_ACRES,STATEFP,PLACEFP,PLACE_FIPS,PLACE_NAME,PLACE_NAME_TYPE,COUNTYFP,CNTY_FIPS,CNTY_NAME,CNTY_NAME_TYPE,Shape_Length,Shape_Area
MAIN,852,2018-01-03,2018-01-03,14,0.0320119,6,65042,665042,San Buenaventura (Ventura),San Buenaventura (Ventura) city,111,6111,Ventura,Ventura County,43.83059635,129.5476774
HARBOR,51011,2018-07-02,2018-07-02,14,0.2560846,6,65042,665042,San Buenaventura (Ventura),San Buenaventura (Ventura) city,111,6111,Ventura,Ventura County,131.7109971,1036.337589
DUNES,55199,2018-07-15,2018-07-15,14,0.0015148,6,54652,654652,Oxnard,Oxnard city,111,6111,Ventura,Ventura County,9.093209879,6.13033144
STEARNS,91457,2018-11-08,2018-11-08,9,0.2200132,6,72016,672016,Simi Valley,Simi Valley city,111,6111,Ventura,Ventura County,124.7053387,890.3617735
LYNN,94498,2018-11-12,2018-11-13,14,10.0795507,6,78582,678582,Thousand Oaks,Thousand Oaks city,111,6111,Ventura,Ventura County,1295.173939,40790.4953
HARBOR,50282,2018-06-29,2018-06-30,14,7.0504003,6,65042,665042,San Buenaventura (Ventura),San Buenaventura (Ventura) city,111,6111,Ventura,Ventura County,1119.023291,28531.95817
HARBOR,50282,2018-06-29,2018-06-30,14,7.0504003,6,54652,654652,Oxnard,Oxnard city,111,6111,Ventura,Ventura County,1119.023291,28531.95817
TELEGRAPH,45427,2018-06-12,2018-06-12,14,7.0573044,6,70042,670042,Santa Paula,Santa Paula city,111,6111,Ventura,Ventura County,960.2455345,28559.89698
FAIRVIEW,59786,2018-07-30,2018-07-30,9,0.2936715,6,46702,646702,Meiners Oaks,Meiners Oaks CDP,111,6111,Ventura,Ventura County,213.8811465,1188.446375
LUNA,55501,2018-07-16,2018-07-16,9,0.5226448,6,46702,646702,Meiners Oaks,Meiners Oaks CDP,111,6111,Ventura,Ventura County,191.5702791,2115.06857
NO NAME,59765,2018-07-30,2018-07-30,9,0.0025265,6,53476,653476,Ojai,Ojai city,111,6111,Ventura,Ventura County,11.5937141,10.22444159
ROBLAR,57020,2018-07-21,2018-07-21,14,1.5275437,6,46702,646702,Meiners Oaks,Meiners Oaks CDP,111,6111,Ventura,Ventura County,379.5092075,6181.749919
HILL,90993,2018-11-08,2018-11-22,14,4310.055176,6,10046,610046,Camarillo,Camarillo city,111,6111,Ventura,Ventura County,38086.36646,17442175.33
HILL,90993,2018-11-08,2018-11-22,14,4310.055176,6,78582,678582,Thousand Oaks,Thousand Oaks city,111,6111,Ventura,Ventura County,38086.36646,17442175.33
HILL,90993,2018-11-08,2018-11-22,14,4310.055176,6,70130,670130,Santa Rosa Valley,Santa Rosa Valley CDP,111,6111,Ventura,Ventura County,38086.36646,17442175.33
KUEHNER,104479,2018-12-14,2018-12-14,14,0.0097212,6,72016,672016,Simi Valley,Simi Valley city,111,6111,Ventura,Ventura County,25.1589499,39.34015257
LEBEC,1827138,2018-07-08,2018-07-09,14,45.5036545,6,40956,640956,Lebec,Lebec CDP,29,6029,Kern,Kern County,2759.743706,184146.7575
PEPPER,1822281,2018-06-08,2018-06-08,14,29.9083748,6,3526,603526,Bakersfield,Bakersfield city,29,6029,Kern,Kern County,1635.124247,121034.8968
,1812473,2018-03-30,2018-03-30,14,0.2215543,6,44280,644280,Lost Hills,Lost Hills CDP,29,6029,Kern,Kern County,125.9021974,896.5984334
SOUTH,1823733,2018-06-18,2018-06-18,14,2.0755651,6,53910,653910,Onyx,Onyx CDP,29,6029,Kern,Kern County,524.1132515,8399.514349
DERBY,1822033,2018-06-06,2018-06-06,14,19.2113609,6,2924,602924,Arvin,Arvin city,29,6029,Kern,Kern County,1155.516956,77745.6178
RIDGE ROUTE ,18009321,2018-01-23,2018-01-23,14,0.1679536,6,39220,639220,Laguna Hills,Laguna Hills city,59,6059,Orange,Orange County,114.4317505,679.6841525
CREEK,18011407,2018-01-28,2018-01-28,14,0.4142567,6,68028,668028,San Juan Capistrano,San Juan Capistrano city,59,6059,Orange,Orange County,183.4420992,1676.437242
CANADA IC ,18020678,2018-02-20,2018-02-20,14,0.0204966,6,39496,639496,Lake Forest,Lake Forest city,59,6059,Orange,Orange County,34.26997459,82.94675697
EL TORO IC ,18009721,2018-01-24,2018-01-24,14,0.0983298,6,39496,639496,Lake Forest,Lake Forest city,59,6059,Orange,Orange County,133.2349081,397.9264065
LA RAMBLA,18020054,2018-02-19,2018-02-19,14,0.0073795,6,65084,665084,San Clemente,San Clemente city,59,6059,Orange,Orange County,22.34172137,29.86374777
SOUTH HAMPTON CT ,18034763,2018-03-27,2018-03-27,14,0.0048195,6,39220,639220,Laguna Hills,Laguna Hills city,59,6059,Orange,Orange County,17.40235041,19.50399012
ALISO ,18060414,2018-06-02,2018-06-10,14,175.7186279,6,947,600947,Aliso Viejo,Aliso Viejo city,59,6059,Orange,Orange County,5119.222573,711108.086
TALBERT PARK SOUTH,18042073,2018-04-15,2018-04-15,14,7.5180831,6,16532,616532,Costa Mesa,Costa Mesa city,59,6059,Orange,Orange County,1308.118545,30424.60372
ALICIA,18075266,2018-07-09,2018-07-09,14,0.3192534,6,39220,639220,Laguna Hills,Laguna Hills city,59,6059,Orange,Orange County,185.6143091,1291.972573
COTO,18086089,2018-08-05,2018-08-05,14,0.740642,6,16580,616580,Coto de Caza,Coto de Caza CDP,59,6059,Orange,Orange County,262.0441592,2997.271964
JAMBOREE,18086167,2018-08-05,2018-08-05,14,0.0747424,6,36770,636770,Irvine,Irvine city,59,6059,Orange,Orange County,69.71141463,302.4718765
BLUFF COVE ,18017518,2018-02-12,2018-02-12,14,0.0065799,6,947,600947,Aliso Viejo,Aliso Viejo city,59,6059,Orange,Orange County,22.96289601,26.62792145
COSTCO,18107545,2018-09-29,2018-09-29,14,0.0117281,6,86832,686832,Yorba Linda,Yorba Linda city,59,6059,Orange,Orange County,34.43557038,47.46180354
AMENO,18130289,2018-11-26,2018-11-26,14,0.7929642,6,65084,665084,San Clemente,San Clemente city,59,6059,Orange,Orange County,319.5180008,3209.012151
LIVE OAK,18064947,2018-06-13,2018-06-13,14,1.7123965,6,80210,680210,Trabuco Canyon,Trabuco Canyon CDP,59,6059,Orange,Orange County,534.705843,6929.822887
COUNTY,9502,2018-06-30,2018-07-11,14,89831.14844,6,31540,631540,Guinda,Guinda CDP,55,6055,Napa,Napa County,166738.9249,363533752.9
COUNTY,9502,2018-06-30,2018-07-11,14,89831.14844,6,31540,631540,Guinda,Guinda CDP,113,6113,Yolo,Yolo County,166738.9249,363533752.9
NELSON,12354,2018-08-10,2018-08-12,9,2158.429443,6,23182,623182,Fairfield,Fairfield city,95,6095,Solano,Solano County,16458.87606,8734853.704
NELSON,12354,2018-08-10,2018-08-12,9,2158.429443,6,81554,681554,Vacaville,Vacaville city,95,6095,Solano,Solano County,16458.87606,8734853.704
RIVER,8653,2018-07-27,2018-08-10,14,48920.39063,6,39710,639710,Lakeport,Lakeport city,45,6045,Mendocino,Mendocino County,96199.39565,197973803.3
RIVER,8653,2018-07-27,2018-08-10,14,48920.39063,6,39710,639710,Lakeport,Lakeport city,33,6033,Lake,Lake County,96199.39565,197973803.3
RANCH,8646,2018-07-27,2018-09-19,9,410202.4688,6,73690,673690,Spring Valley,Spring Valley CDP,45,6045,Mendocino,Mendocino County,348227.6651,1660030473
RANCH,8646,2018-07-27,2018-09-19,9,410202.4688,6,73690,673690,Spring Valley,Spring Valley CDP,11,6011,Colusa,Colusa County,348227.6651,1660030473
RANCH,8646,2018-07-27,2018-09-19,9,410202.4688,6,73690,673690,Spring Valley,Spring Valley CDP,33,6033,Lake,Lake County,348227.6651,1660030473
RANCH,8646,2018-07-27,2018-09-19,9,410202.4688,6,73690,673690,Spring Valley,Spring Valley CDP,21,6021,Glenn,Glenn County,348227.6651,1660030473
EUCLID,74609,2018-06-13,2018-06-23,14,156.3772583,6,13210,613210,Chino,Chino city,71,6071,San Bernardino,San Bernardino County,6863.337896,632836.3404
EUCLID,74609,2018-06-13,2018-06-23,14,156.3772583,6,13210,613210,Chino,Chino city,65,6065,Riverside,Riverside County,6863.337896,632836.3404
SKYLINE LRA,90869,,,14,281.6225281,6,16350,616350,Corona,Corona city,65,6065,Riverside,Riverside County,5960.532715,1139685.889
BRIDGE,118530,2018-04-19,2018-04-20,11,7.7679405,6,41208,641208,Leona Valley,Leona Valley CDP,37,6037,Los Angeles,Los Angeles County,1426.47495,31435.74045
SOUTH,171655,2018-06-09,2018-06-12,14,175.1159363,6,69088,669088,Santa Clarita,Santa Clarita city,37,6037,Los Angeles,Los Angeles County,3438.144469,708669.0342
VIEW,157745,2018-05-27,2018-05-27,2,0.1131595,6,31596,631596,Hacienda Heights,Hacienda Heights CDP,37,6037,Los Angeles,Los Angeles County,138.9244076,457.940286
VANTAGE,273301,2018-09-08,2018-09-08,3,0.1195796,6,63218,663218,Rowland Heights,Rowland Heights CDP,37,6037,Los Angeles,Los Angeles County,87.67397579,483.9216016
STONE,166129,2018-06-04,2018-06-05,2,1350.647461,6,55156,655156,Palmdale,Palmdale city,37,6037,Los Angeles,Los Angeles County,19402.977,5465876.505
STONE,166129,2018-06-04,2018-06-05,2,1350.647461,6,450,600450,Agua Dulce,Agua Dulce CDP,37,6037,Los Angeles,Los Angeles County,19402.977,5465876.505
SANTA MARIA,330515,2018-10-31,2018-10-31,14,1.3472339,6,78960,678960,Topanga,Topanga CDP,37,6037,Los Angeles,Los Angeles County,497.1202837,5452.062114
KLAMATHON,4641,2018-07-05,2018-07-21,5,38008.78906,6,34694,634694,Hornbrook,Hornbrook CDP,93,6093,Siskiyou,Siskiyou County,115153.747,153816108.7
SIMMONS,10741,2018-07-19,2018-07-19,7,32.6768684,6,6070,606070,Berry Creek,Berry Creek CDP,7,6007,Butte,Butte County,1796.635228,132238.5964
