fips,name,name-cdp,total-housing-units,margin-of-error-total,owner-occupied-units,marin-of-error-owner,renter-occupied,margin-of-error-renter
1600000US0604870,Bell city,"Bell city, California",34423,478,12644,1458,21779,1549
1600000US0604926,Bella Vista CDP,"Bella Vista CDP, California",3315,498,2792,418,523,231
1600000US0604938,Bell Canyon CDP,"Bell Canyon CDP, California",1991,265,1829,282,162,139
1600000US0604982,Bellflower city,"Bellflower city, California",75650,198,30555,1919,45095,1912
1600000US0604996,Bell Gardens city,"Bell Gardens city, California",41364,244,10299,1214,31065,1224
1600000US0605108,Belmont city,"Belmont city, California",26327,187,16604,942,9723,932
1600000US0605164,Belvedere city,"Belvedere city, California",2246,235,1782,228,464,149
1600000US0605262,Benbow CDP,"Benbow CDP, California",150,77,135,74,15,22
1600000US0605276,Bend CDP,"Bend CDP, California",425,190,425,190,0,13
1600000US0605290,Benicia city,"Benicia city, California",28134,74,20279,837,7855,838
1600000US0605332,Ben Lomond CDP,"Ben Lomond CDP, California",7272,990,4975,763,2297,804
1600000US0605346,Benton CDP,"Benton CDP, California",244,136,229,136,15,18
1600000US0605356,Benton Park CDP,"Benton Park CDP, California",5203,776,3210,810,1993,643
1600000US0606000,Berkeley city,"Berkeley city, California",109964,801,51131,2005,58833,2040
1600000US0606028,Bermuda Dunes CDP,"Bermuda Dunes CDP, California",6620,847,3860,690,2760,552
1600000US0606070,Berry Creek CDP,"Berry Creek CDP, California",1278,315,963,292,315,172
1600000US0606150,Bertsch-Oceanview CDP,"Bertsch-Oceanview CDP, California",2037,540,1611,516,426,197
1600000US0606210,Bethel Island CDP,"Bethel Island CDP, California",2015,472,1741,459,274,212
1600000US0606308,Beverly Hills city,"Beverly Hills city, California",33684,42,17007,1363,16677,1364
1600000US0606336,Bieber CDP,"Bieber CDP, California",145,89,105,79,40,43
1600000US0606406,Big Bear City CDP,"Big Bear City CDP, California",12600,1294,7501,877,5099,959
1600000US0606434,Big Bear Lake city,"Big Bear Lake city, California",5276,38,2788,410,2488,414
1600000US0606475,Big Bend CDP,"Big Bend CDP, California",187,142,160,138,27,25
1600000US0606518,Big Creek CDP,"Big Creek CDP, California",159,89,39,47,120,77
1600000US0606560,Biggs city,"Biggs city, California",2648,573,2032,554,616,306
1600000US0606567,Big Lagoon CDP,"Big Lagoon CDP, California",92,37,78,34,14,13
1600000US0606616,Big Pine CDP,"Big Pine CDP, California",1373,173,1163,190,210,67
1600000US0606635,Big River CDP,"Big River CDP, California",1158,200,768,122,390,170
1600000US0606728,Biola CDP,"Biola CDP, California",1440,383,677,315,763,317
1600000US0606798,Bishop city,"Bishop city, California",3641,92,2000,393,1641,382
1600000US0606928,Blackhawk CDP,"Blackhawk CDP, California",10537,1078,9689,1008,848,346
1600000US0606935,Blacklake CDP,"Blacklake CDP, California",797,225,756,225,41,48
1600000US0606982,Black Point-Green Point CDP,"Black Point-Green Point CDP, California",1738,296,1497,301,241,156
1600000US0606994,Blairsden CDP,"Blairsden CDP, California",0,13,0,13,0,13
1600000US0607036,Bloomfield CDP,"Bloomfield CDP, California",243,130,183,107,60,79
1600000US0607064,Bloomington CDP,"Bloomington CDP, California",21696,1877,14874,1789,6822,1265
1600000US0607162,Blue Lake city,"Blue Lake city, California",934,186,540,125,394,162
1600000US0607172,Bluewater CDP,"Bluewater CDP, California",142,65,142,65,0,13
1600000US0607218,Blythe city,"Blythe city, California",13076,797,7453,880,5623,850
1600000US0607246,Bodega CDP,"Bodega CDP, California",590,317,529,328,61,67
1600000US0607260,Bodega Bay CDP,"Bodega Bay CDP, California",1004,581,630,477,374,240
1600000US0607274,Bodfish CDP,"Bodfish CDP, California",2164,681,991,305,1173,665
1600000US0607316,Bolinas CDP,"Bolinas CDP, California",1205,313,875,246,330,233
1600000US0607372,Bombay Beach CDP,"Bombay Beach CDP, California",215,157,185,159,30,44
