county,med_mk_pop,med_slp_pop,avg_mk_pop,avg_slp_pop,cnt,med_mk_pop_sign,med_slp_pop_sign,avg_mk_pop_sign,avg_slp_pop_sign,cnt_sign,pct_sign,county_name
Alameda County,0.46392081677913666,36.22377622377604,0.4030764692295821,62.69415157492066,156,0.6969696283340454,83.58041958041943,0.6554702366099638,106.9018072123953,85,54,Alameda
Alpine County,-0.03030302748084068,2.2062937062936494,-0.03030302748084068,2.2062937062936494,1,NA,NA,NA,NA,0,0,Alpine
Amador County,-0.03030302748084068,-4.643356643356691,0.030527487811115077,14.009116809116753,9,0.5151514410972595,52.758741258741146,0.17575755715370178,37.90979020979009,5,56.00000000000001,Amador
Butte County,0.09090907871723176,20.045454545454472,0.09095012405237482,0.5117634303679475,43,0.484848439693451,54.188811188811016,0.20306158324946527,18.378250734772347,23,53,Butte
Calaveras County,0.022222223691642284,4.015151515151512,-0.03985273335129021,-7.0648484848485955,10,-0.5757575035095215,-77.88811188811204,-0.11364486217498776,-31.25664335664347,5,50,Calaveras
Colusa County,0.2888889014720917,3.860606060605938,0.172929285466671,5.576317016316903,5,0.07575757801532745,0.5157342657341264,0.07575757801532745,0.5157342657341264,2,40,Colusa
Contra Costa County,0.393939346075058,40.19580419580388,0.3663649660790099,63.35901603052427,179,0.6929292678833008,76.93006993006975,0.6108179724878735,111.3058249158248,90,50,Contra Costa
Del Norte County,-0.24242421984672544,-31.5454545454546,-0.21789818576404024,-19.228438228438314,7,-0.6000000238418579,-49.515151515151395,-0.6343433856964111,-52.00271950271955,3,43,Del Norte
El Dorado County,0.28787876665592194,12.740559440559394,0.17241849000787451,24.687190587190493,42,0.6060316264629364,61.758041958041886,0.2837629109621048,46.27157342657334,20,48,El Dorado
Fresno County,0.5727272629737854,71.94265734265724,0.348566737336417,97.02369204869191,36,0.656507670879364,97.65384615384608,0.4695442782508003,131.95000431667086,27,75,Fresno
Glenn County,-0.0171717256307602,4.59277389277378,-0.07171718776226044,-5.534459984460083,6,-0.19797983765602112,-14.876223776223913,-0.19797983765602112,-14.876223776223913,2,33,Glenn
Humboldt County,0.13730331510305405,9.875874125874002,0.13043998094896478,10.28672105672096,30,0.5454545021057129,25.912587412587257,0.21845144695705837,22.843563843563736,9,30,Humboldt
Imperial County,0.3030302822589874,43.034965034964834,0.09242175812167781,40.852580752580636,21,0.45454540848731995,57.94055944055933,0.022843826275605404,38.47772996234523,13,62,Imperial
Inyo County,-0.045454543083906174,-2.452797202797297,-0.02020201956232389,-4.030303030303166,6,-0.45454540848731995,-23.534965034965193,-0.45454540848731995,-23.534965034965193,1,17,Inyo
Kern County,0.2290143072605133,29.736363636363578,0.23554474324213742,86.70069223705582,66,0.7303029894828796,95.78484848484848,0.39552965511878335,152.9370046620046,36,55.00000000000001,Kern
Kings County,-0.333333283662796,-14.164335664335828,-0.12496392003127504,-84.73829503829518,7,-0.5111111402511597,-34.14685314685322,-0.09010101556777952,-114.65738927738941,5,71,Kings
Lake County,0,1.262237762237669,0.056756063426534324,3.3672571872570924,15,0.5454544723033905,51.54545454545448,0.12878061085939407,6.315734265734175,8,53,Lake
Lassen County,0.10687334090471268,13.832167832167745,-0.07903425809409884,-42.83372183372195,9,-0.5151514410972595,-72.09090909090912,-0.20606057047843934,-34.21748251748262,5,56.00000000000001,Lassen
Los Angeles County,0.12121210992336272,9.772727272727296,0.09725782254258905,15.694988115106353,507,0.5602287650108337,42.44930069930052,0.2191572786770134,37.381971766551104,214,42,Los Angeles
Madera County,0.015151515603065477,3.47552447552435,0.11411476880311966,19.736752136752052,18,0.5454545021057129,87.2132867132865,0.34118964936998153,58.678036778036684,9,50,Madera
Marin County,0.45454540848731995,25.912587412587364,0.2741096531445126,27.253564674319247,53,0.5757575035095215,38.61538461538451,0.4170795128200993,42.96044359680712,33,62,Marin
Mariposa County,-0.22727270424365997,-20.220279720279816,-0.18347261411448318,-17.178321678321762,6,-0.5151514410972595,-27.419580419580495,-0.22553110122680664,-22.334498834498937,3,50,Mariposa
Mendocino County,0.10606059432029724,3.3863636363635337,0.09585857316851616,1.773461538461402,20,0.5757575035095215,58.8776223776221,0.3878787398338318,37.01888111888099,5,25,Mendocino
Merced County,0.1818181648850441,27.74172494172481,0.23689903634098858,70.81746458669525,26,0.7575756907463074,127.46503496503472,0.48566427628199255,128.75401709401703,15,57.99999999999999,Merced
Modoc County,-0.15151513740420341,-11.645104895104964,-0.15451928786933422,-21.441433566433627,4,-0.727272629737854,-81.60489510489515,-0.727272629737854,-81.60489510489515,1,25,Modoc
Mono County,-0.20000000298023224,-2.333333333333144,-0.026262626051902754,4.930846930846956,3,0.484848439693451,58.541958041958026,0.484848439693451,58.541958041958026,1,33,Mono
Monterey County,0.2434343323111534,29.59965034965019,0.21041484856076778,22.108948041205988,62,0.6060605645179749,63.87237762237758,0.3804048185165112,49.48999462076373,26,42,Monterey
Napa County,0.24242421984672544,11.227272727272624,0.1494269952751123,10.664604626142957,39,0.6212120652198792,27.80594405594397,0.32221689323584235,23.671328671328556,18,46,Napa
Nevada County,0.1666666492819786,14.779720279720156,0.10272725354880094,7.551293706293603,20,0.4999999403953552,45.74650349650334,0.16868684440851212,20.500194250194177,12,60,Nevada
Orange County,0.1515151411294937,16.604895104895057,0.15530219449606159,58.651206409484395,151,0.6060605645179749,74.05594405594364,0.37414942705442034,133.78137418137402,63,42,Orange
Placer County,0.3484847992658615,26.150349650349433,0.21387167853014222,69.44890684028603,58,0.5873538553714752,53.24125874125863,0.34476742347081507,124.30320124320117,30,52,Placer
