FIPS_Code,County_FIPS_Code,County,State_FIPS_Code,State,value,month,year
06021,021,Glenn,06,CA,438,Sep,2017
06021,021,Glenn,06,CA,442,Oct,2017
06021,021,Glenn,06,CA,440,Nov,2017
06021,021,Glenn,06,CA,440,Dec,2017
06023,023,Humboldt,06,CA,1058,Jan,2017
06023,023,Humboldt,06,CA,1064,Feb,2017
06023,023,Humboldt,06,CA,1048,Mar,2017
06023,023,Humboldt,06,CA,1042,Apr,2017
06023,023,Humboldt,06,CA,1050,May,2017
06023,023,Humboldt,06,CA,1048,Jun,2017
06023,023,Humboldt,06,CA,1021,Jul,2017
06023,023,Humboldt,06,CA,1049,Aug,2017
06023,023,Humboldt,06,CA,1051,Sep,2017
06023,023,Humboldt,06,CA,1041,Oct,2017
06023,023,Humboldt,06,CA,1050,Nov,2017
06023,023,Humboldt,06,CA,1032,Dec,2017
06025,025,Imperial,06,CA,743,Jan,2017
06025,025,Imperial,06,CA,728,Feb,2017
06025,025,Imperial,06,CA,725,Mar,2017
06025,025,Imperial,06,CA,718,Apr,2017
06025,025,Imperial,06,CA,717,May,2017
06025,025,Imperial,06,CA,712,Jun,2017
06025,025,Imperial,06,CA,697,Jul,2017
06025,025,Imperial,06,CA,697,Aug,2017
06025,025,Imperial,06,CA,697,Sep,2017
06025,025,Imperial,06,CA,676,Oct,2017
06025,025,Imperial,06,CA,690,Nov,2017
06025,025,Imperial,06,CA,676,Dec,2017
06027,027,Inyo,06,CA,395,Jan,2017
06027,027,Inyo,06,CA,386,Feb,2017
06027,027,Inyo,06,CA,384,Mar,2017
06027,027,Inyo,06,CA,379,Apr,2017
06027,027,Inyo,06,CA,374,May,2017
06027,027,Inyo,06,CA,386,Jun,2017
06027,027,Inyo,06,CA,382,Jul,2017
06027,027,Inyo,06,CA,387,Aug,2017
06027,027,Inyo,06,CA,385,Sep,2017
06027,027,Inyo,06,CA,381,Oct,2017
06027,027,Inyo,06,CA,379,Nov,2017
06027,027,Inyo,06,CA,379,Dec,2017
06029,029,Kern,06,CA,5592,Jan,2017
06029,029,Kern,06,CA,5477,Feb,2017
06029,029,Kern,06,CA,5442,Mar,2017
06029,029,Kern,06,CA,5377,Apr,2017
06029,029,Kern,06,CA,5354,May,2017
06029,029,Kern,06,CA,5336,Jun,2017
06029,029,Kern,06,CA,5496,Jul,2017
06029,029,Kern,06,CA,5630,Aug,2017
06029,029,Kern,06,CA,5617,Sep,2017
06029,029,Kern,06,CA,5623,Oct,2017
06029,029,Kern,06,CA,5618,Nov,2017
06029,029,Kern,06,CA,5591,Dec,2017
06031,031,Kings,06,CA,989,Jan,2017
06031,031,Kings,06,CA,974,Feb,2017
06031,031,Kings,06,CA,963,Mar,2017
06031,031,Kings,06,CA,959,Apr,2017
06031,031,Kings,06,CA,950,May,2017
06031,031,Kings,06,CA,957,Jun,2017
06031,031,Kings,06,CA,973,Jul,2017
06031,031,Kings,06,CA,1005,Aug,2017
06031,031,Kings,06,CA,983,Sep,2017
06031,031,Kings,06,CA,999,Oct,2017
06031,031,Kings,06,CA,994,Nov,2017
06031,031,Kings,06,CA,987,Dec,2017
06033,033,Lake,06,CA,997,Jan,2017
06033,033,Lake,06,CA,981,Feb,2017
06033,033,Lake,06,CA,964,Mar,2017
06033,033,Lake,06,CA,951,Apr,2017
06033,033,Lake,06,CA,941,May,2017
06033,033,Lake,06,CA,943,Jun,2017
06033,033,Lake,06,CA,923,Jul,2017
06033,033,Lake,06,CA,940,Aug,2017
06033,033,Lake,06,CA,921,Sep,2017
06033,033,Lake,06,CA,922,Oct,2017
06033,033,Lake,06,CA,933,Nov,2017
06033,033,Lake,06,CA,940,Dec,2017
06035,035,Lassen,06,CA,619,Jan,2017
06035,035,Lassen,06,CA,616,Feb,2017
06035,035,Lassen,06,CA,610,Mar,2017
06035,035,Lassen,06,CA,608,Apr,2017
06035,035,Lassen,06,CA,611,May,2017
06035,035,Lassen,06,CA,603,Jun,2017
06035,035,Lassen,06,CA,595,Jul,2017
06035,035,Lassen,06,CA,604,Aug,2017
06035,035,Lassen,06,CA,599,Sep,2017
06035,035,Lassen,06,CA,599,Oct,2017
06035,035,Lassen,06,CA,588,Nov,2017
06035,035,Lassen,06,CA,591,Dec,2017
06037,037,Los Angeles,06,CA,35118,Jan,2017
06037,037,Los Angeles,06,CA,34665,Feb,2017
06037,037,Los Angeles,06,CA,34088,Mar,2017
06037,037,Los Angeles,06,CA,33779,Apr,2017
06037,037,Los Angeles,06,CA,33563,May,2017
06037,037,Los Angeles,06,CA,33302,Jun,2017
06037,037,Los Angeles,06,CA,34536,Jul,2017
06037,037,Los Angeles,06,CA,35359,Aug,2017
